"b_Intercept","b_vax_last_year","b_logcases_last_yearP1","shape"
-7.73671754475417,-6.44938053906302,0.669955735823087,2.5312567130652
-7.26306206375343,-7.40791829828882,0.630248895642955,2.95382996869336
-8.36529482080516,-7.75233432441094,0.780892985039961,1.99889298562383
-7.87790778978264,-6.52374389112548,0.688246160303445,1.34973289786755
-7.60530442434801,-6.17647875257237,0.633546677850926,3.08489508405702
-6.45405948404563,-7.01714535435322,0.447009167134201,1.42366464942296
-6.88583575009687,-8.1403309832674,0.531748917163783,2.19471229702723
-8.66739237989531,-7.16526797798871,0.876153910255144,2.2924759847469
-8.98374978261649,-5.79998910055466,0.8774985106059,2.95613466038619
-8.11906236763308,-6.70783764905682,0.748250840278492,2.63689216537422
-8.32087324904673,-6.14550503762526,0.756915222083572,2.7019637027514
-7.18188643674646,-7.0521081930848,0.565238539326363,3.28204794050285
-7.96436169467197,-5.49904700453154,0.691885948352195,2.63321227349608
-6.77393983309484,-4.73743003579202,0.415459965071577,1.38342920487857
-6.81651353720327,-5.30435811990118,0.442816109205922,1.18799252310135
-7.43242704209401,-2.6539360129495,0.433793039600129,1.33334374136469
-7.17031007345042,-4.72365957833067,0.480196398817193,1.60399026258876
-6.89027914118049,-4.88254184668673,0.385346182701898,0.845706740650822
-6.36413245645756,-5.39999165072911,0.395946400311636,2.90568680788035
-8.47138466740209,-8.39915907599244,0.834783550930269,2.30755363589149
-7.76959702493666,-5.63859950645586,0.66552196853108,1.71943655954041
-8.44341465896428,-5.11192026379396,0.78597491711065,2.59459972605256
-8.56138811375584,-5.70101879913762,0.81546333445388,3.04752542622633
-7.53439083172087,-6.3728905265436,0.652840799237786,3.21660478166916
-7.50488050820729,-3.36247873278087,0.447857879826715,3.23019639831107
-7.57887512026866,-4.24606621125161,0.512844587201713,3.18096238618411
-7.06700891462151,-2.34022728824329,0.307177239690316,2.7087781492987
-6.57249409116595,-4.61193106214721,0.27289627460315,1.77970524209129
-7.76263096549706,-10.016210167449,0.752128464021883,1.02919954995376
-9.45322332721058,-9.29021597914804,1.05191923331412,1.46580403474653
-9.57266596612721,-8.57321959872502,1.05890559755462,1.20577782972633
-8.54918334713188,-7.66781418734304,0.825385549155529,1.43797887994126
-7.23332124279925,-6.88208444093902,0.604263877482255,3.53027454725558
-7.29556937168667,-7.3275460492659,0.626074956645936,3.58451505991627
-8.49552451497858,-7.15167248528993,0.805716444274531,2.40901215887243
-8.0503096715747,-6.57657775285985,0.72400330653767,2.77416103067398
-7.08710237451892,-7.16930206381987,0.46179924391,0.703064536856333
-8.87572165754435,-5.40489941747589,0.834200257364915,3.01486064201385
-8.06994873463671,-9.15528881163722,0.80972399901571,1.81273055032793
-8.68493336108589,-8.05045828264351,0.904282855656747,1.98992584889272
-7.23619905013118,-6.89134821685369,0.596913065938108,2.9834724551375
-7.74035409265209,-9.0510180555078,0.758268139882442,2.42044727254392
-7.69347933281242,-3.97815537204524,0.551095399162819,2.8063938254736
-8.82743657801085,-5.27896017878313,0.85779845520005,1.6108656637133
-7.90740407876635,-8.9969564579136,0.754731440773883,2.03379543803546
-7.67088342883813,-6.81293090719889,0.70194478782526,2.58880678813123
-7.48984605634467,-6.6150252801868,0.56712416958446,2.01995127943831
-7.62569539334374,-6.01011649614929,0.624421822997476,1.51514117497248
-7.56125802559304,-6.97044479868706,0.662614197125579,1.34948330078496
-7.89369401721938,-4.30720586182838,0.628124858990431,1.64974471353437
-7.35571300057642,-4.665246009616,0.537317283092083,1.5211789586963
-7.21995182246775,-6.08970742546745,0.57392065121464,1.92698195364594
-7.60534435714268,-8.32484292721325,0.696529143678487,2.62521514702711
-8.0160210645002,-8.65548558827736,0.776557289459637,2.66996129703712
-7.50164497181318,-7.75612843913757,0.680976454987301,2.49323273989598
-7.27540465873574,-7.85168636060272,0.637039249371161,2.48791428665439
-7.48548750390146,-8.77389503043223,0.73111063878059,3.43579275964019
-7.40554045678817,-4.46159661401384,0.510831389160356,2.91396788610032
-6.62623201369285,-10.5341747667645,0.644508766933419,1.3426001376636
-8.46833535044954,-4.983992337836,0.72266781891148,3.69199006717449
-8.91227284677897,-4.06838223550036,0.761743687302045,4.26162986615886
-8.2672411674616,-4.68787855897681,0.676359596703471,4.11475446569605
-6.46098559852436,-7.74569579467677,0.48797274839207,1.8105218514876
-8.00383224164295,-6.11845871075877,0.720013073523722,2.46961700651612
-9.01259588121053,-7.85415378707838,0.99618995316849,2.09183665717288
-9.4365389301352,-8.26344770756959,1.10280346332808,1.93466758682272
-6.69669015723053,-5.73552316945653,0.363207991358056,2.01949848953733
